account_id,churn_probability,churn_probability_percent,risk_level,health_score,action_priority,recommended_action,industry,country,signup_date,referral_source,initial_plan_tier,initial_seats,churn_flag,subscription_count,ever_upgraded,ever_downgraded,latest_plan_tier,latest_seats,latest_mrr,latest_is_trial,latest_billing_frequency,latest_auto_renew,usage_event_count,total_usage_count,total_usage_duration_secs,total_errors,unique_features_used,active_usage_days,last_usage_date,beta_usage_events,errors_per_100_usage,average_duration_per_event,average_usage_per_event,days_since_last_usage,ticket_count,average_first_response_minutes,average_resolution_hours,average_satisfaction_score,escalation_count,last_support_ticket_date,has_support_tickets,customer_tenure_days,seat_change,plan_changed,days_since_last_support_ticket,has_satisfaction_score,top_risk_signals
A-32728c,0.8299007131588813,83.0,High,17.0,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-01-03,event,Pro,20,1,8,1,0,Basic,42,798,0,annual,1,41,418,115325,22,26,38,2024-12-14,6,5.263157894736842,2812.8048780487807,10.195121951219512,17,2.0,61.5,34.5,3.5,0.0,2023-03-11,1,728,22,1,661.0,1,"['categorical__industry_DevTools', 'categorical__referral_source_event', 'categorical__country_US']"
A-712f1c,0.8285484818258027,82.9,High,17.1,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-12-16,ads,Basic,17,1,12,1,0,Pro,17,833,0,annual,1,68,631,181302,34,32,67,2024-12-29,5,5.388272583201268,2666.205882352941,9.279411764705882,2,6.0,88.83333333333333,41.66666666666666,4.0,0.0,2024-08-09,1,381,0,1,144.0,1,"['categorical__industry_DevTools', 'numeric__active_usage_days', 'numeric__unique_features_used']"
A-7df7a7,0.8217596131164989,82.2,High,17.8,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-01-28,organic,Basic,7,1,15,0,1,Enterprise,30,5970,0,annual,1,91,922,256811,47,36,86,2024-12-19,10,5.097613882863341,2822.098901098901,10.131868131868131,12,3.0,93.0,28.0,4.0,1.0,2024-03-19,1,703,23,1,287.0,1,"['numeric__active_usage_days', 'numeric__unique_features_used', 'categorical__industry_DevTools']"
A-4c38bc,0.8190372092878286,81.9,High,18.1,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,UK,2024-03-09,event,Basic,36,1,16,1,0,Pro,36,1764,0,annual,1,81,818,271358,27,37,76,2024-12-29,10,3.3007334963325183,3350.098765432099,10.098765432098766,2,3.0,43.0,48.333333333333336,3.5,0.0,2024-07-27,1,297,0,1,157.0,1,"['numeric__unique_features_used', 'numeric__active_usage_days', 'numeric__errors_per_100_usage']"
A-e2cd1b,0.8166314059990266,81.7,High,18.3,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2024-02-04,other,Enterprise,15,0,9,1,0,Enterprise,16,3184,0,annual,1,49,465,138043,18,29,48,2024-12-25,7,3.870967741935484,2817.204081632653,9.489795918367347,6,5.0,76.0,37.8,4.0,0.0,2024-07-03,1,331,1,0,181.0,1,"['categorical__industry_DevTools', 'numeric__errors_per_100_usage', 'categorical__latest_plan_tier_Enterprise']"
A-f17767,0.813165933667687,81.3,High,18.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-01-30,event,Enterprise,1,1,14,1,1,Pro,15,735,0,annual,1,69,713,208977,38,35,67,2024-12-25,4,5.329593267882188,3028.6521739130435,10.333333333333334,6,3.0,115.0,36.333333333333336,4.0,1.0,2024-01-28,1,701,14,1,338.0,1,"['categorical__industry_DevTools', 'numeric__unique_features_used', 'categorical__referral_source_event']"
A-ccc747,0.8057113035978004,80.6,High,19.4,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,FR,2024-01-12,event,Pro,16,1,6,1,0,Basic,16,304,0,annual,1,30,284,89582,13,23,30,2024-12-08,3,4.577464788732395,2986.0666666666666,9.466666666666669,23,4.0,83.25,32.25,5.0,1.0,2024-08-05,1,354,0,1,148.0,1,"['categorical__country_FR', 'categorical__referral_source_event', 'numeric__subscription_count']"
A-4bfa33,0.8023855777553985,80.2,High,19.8,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",Cybersecurity,US,2024-12-07,event,Basic,8,0,7,0,0,Enterprise,8,0,1,annual,1,36,329,78244,17,23,34,2024-12-26,6,5.167173252279635,2173.4444444444443,9.13888888888889,5,4.0,84.75,16.5,3.6666666666666665,0.0,2024-06-29,1,24,0,1,185.0,1,"['categorical__referral_source_event', 'categorical__latest_plan_tier_Enterprise', 'numeric__subscription_count']"
A-0f3e88,0.8018096311403901,80.2,High,19.8,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,US,2023-07-23,other,Basic,7,1,11,1,0,Pro,7,343,0,monthly,0,59,598,176630,28,32,58,2024-12-29,6,4.682274247491638,2993.728813559322,10.135593220338984,2,3.0,67.0,48.0,4.5,0.0,2024-10-17,1,527,0,1,75.0,1,"['numeric__latest_auto_renew', 'numeric__unique_features_used', 'categorical__country_US']"
A-08e34e,0.7907871958092199,79.1,High,20.9,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",EdTech,US,2024-06-27,event,Basic,14,1,11,0,0,Enterprise,14,2786,0,monthly,1,63,651,186929,32,34,61,2024-12-30,7,4.915514592933948,2967.126984126984,10.333333333333334,1,3.0,84.0,43.0,3.0,0.0,2024-07-15,1,187,0,1,169.0,1,"['categorical__referral_source_event', 'numeric__unique_features_used', 'categorical__latest_plan_tier_Enterprise']"
A-aa9511,0.7882320562778792,78.8,High,21.2,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-10-10,other,Pro,23,0,15,0,1,Enterprise,30,5970,0,monthly,0,65,625,189526,35,33,63,2024-12-31,5,5.6000000000000005,2915.784615384616,9.615384615384617,0,2.0,98.5,56.5,4.0,0.0,2023-08-09,1,448,7,1,510.0,1,"['categorical__industry_DevTools', 'numeric__unique_features_used', 'numeric__active_usage_days']"
A-05d3b3,0.7862614357120293,78.6,High,21.4,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,AU,2023-05-28,ads,Basic,9,0,13,0,0,Enterprise,19,3781,0,annual,1,64,642,193363,22,32,62,2024-12-18,4,3.4267912772585665,3021.296875,10.03125,13,6.0,48.333333333333336,31.5,4.333333333333333,0.0,2024-11-03,1,583,10,1,58.0,1,"['categorical__industry_DevTools', 'numeric__errors_per_100_usage', 'categorical__latest_plan_tier_Enterprise']"
A-02cd81,0.7848900155886863,78.5,High,21.5,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,IN,2024-03-28,other,Basic,44,0,14,0,0,Pro,44,2156,0,annual,1,72,684,219304,28,31,68,2024-12-26,5,4.093567251461988,3045.8888888888887,9.5,5,3.0,84.66666666666667,17.333333333333332,4.5,1.0,2024-07-10,1,278,0,1,174.0,1,"['numeric__active_usage_days', 'numeric__errors_per_100_usage', 'numeric__unique_features_used']"
A-dcc3f1,0.7841633105219927,78.4,High,21.6,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,US,2023-12-27,event,Pro,21,0,8,0,1,Basic,21,399,0,annual,0,48,500,137958,32,31,47,2024-12-24,6,6.4,2874.125,10.416666666666666,7,9.0,83.44444444444444,35.666666666666664,3.8,0.0,2024-08-31,1,370,0,1,122.0,1,"['categorical__referral_source_event', 'numeric__latest_auto_renew', 'categorical__country_US']"
A-e6afc1,0.7829142316586785,78.3,High,21.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-02-24,ads,Pro,1,0,11,0,0,Pro,9,0,1,monthly,0,71,679,196287,30,32,67,2024-12-16,6,4.418262150220913,2764.605633802817,9.56338028169014,15,0.0,,,,0.0,,0,676,8,0,,0,"['numeric__has_support_tickets', 'categorical__industry_DevTools', 'numeric__active_usage_days']"
A-249769,0.7824602514944399,78.2,High,21.8,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",Cybersecurity,US,2024-04-25,event,Enterprise,4,1,13,0,0,Basic,7,133,0,annual,1,68,678,193777,30,31,65,2024-12-30,3,4.424778761061947,2849.6617647058824,9.970588235294118,1,2.0,96.5,39.5,4.0,0.0,2024-10-12,1,250,3,1,80.0,1,"['categorical__referral_source_event', 'numeric__active_usage_days', 'numeric__errors_per_100_usage']"
A-f19409,0.7807057269020771,78.1,High,21.9,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-03-16,other,Basic,23,1,12,1,0,Basic,35,665,0,annual,0,62,659,209812,31,33,59,2024-12-27,12,4.704097116843703,3384.064516129032,10.629032258064516,4,3.0,103.33333333333331,6.333333333333333,4.0,0.0,2024-11-12,1,656,12,0,49.0,1,"['categorical__industry_DevTools', 'numeric__unique_features_used', 'numeric__latest_auto_renew']"
A-2bc93d,0.7793746952394933,77.9,High,22.1,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,US,2023-03-14,event,Basic,14,0,13,1,0,Pro,35,1715,0,monthly,1,67,666,215735,31,33,62,2024-12-07,5,4.654654654654655,3219.9253731343283,9.940298507462687,24,2.0,78.0,12.0,4.5,0.0,2024-11-23,1,658,21,1,38.0,1,"['categorical__referral_source_event', 'numeric__unique_features_used', 'numeric__active_usage_days']"
A-2922b6,0.7735224785347723,77.4,High,22.6,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,US,2024-11-14,organic,Basic,15,0,6,1,0,Pro,20,980,0,annual,0,37,393,117237,13,27,36,2024-12-18,2,3.307888040712468,3168.5675675675675,10.62162162162162,13,2.0,103.0,15.5,4.0,0.0,2024-11-13,1,47,5,1,48.0,1,"['numeric__errors_per_100_usage', 'numeric__subscription_count', 'numeric__latest_auto_renew']"
A-3b5cd1,0.7719926063704938,77.2,High,22.8,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,US,2023-09-12,event,Basic,13,0,13,1,1,Enterprise,21,4179,0,annual,1,52,523,177958,24,27,48,2024-12-21,5,4.588910133843212,3422.269230769231,10.057692307692308,10,5.0,46.6,27.4,4.0,0.0,2024-12-21,1,476,8,1,10.0,1,"['categorical__referral_source_event', 'categorical__latest_plan_tier_Enterprise', 'categorical__country_US']"
A-00bed1,0.771824492668349,77.2,High,22.8,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",Cybersecurity,US,2023-11-14,ads,Basic,28,0,10,1,0,Enterprise,28,5572,0,annual,0,51,514,143734,27,32,49,2024-12-14,2,5.252918287937743,2818.313725490196,10.07843137254902,17,4.0,106.25,31.75,4.0,0.0,2024-05-16,1,413,0,1,229.0,1,"['categorical__latest_plan_tier_Enterprise', 'numeric__latest_auto_renew', 'numeric__unique_features_used']"
A-7a0d69,0.771131143251835,77.1,High,22.9,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,DE,2024-06-15,ads,Enterprise,4,1,11,1,0,Enterprise,16,3184,0,monthly,1,61,606,179167,31,31,60,2024-12-23,5,5.115511551155116,2937.1639344262294,9.934426229508198,8,2.0,52.5,29.0,5.0,0.0,2024-07-04,1,199,12,0,180.0,1,"['categorical__country_DE', 'categorical__industry_DevTools', 'categorical__latest_plan_tier_Enterprise']"
A-794a0b,0.7682730962222187,76.8,High,23.2,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,DE,2023-06-02,organic,Basic,23,0,7,0,0,Enterprise,31,6169,0,monthly,1,38,347,94200,31,28,36,2024-12-20,1,8.93371757925072,2478.9473684210525,9.13157894736842,11,0.0,,,,0.0,,0,578,8,1,,0,"['numeric__has_support_tickets', 'categorical__country_DE', 'categorical__latest_plan_tier_Enterprise']"
A-f446b6,0.7676997736693589,76.8,High,23.2,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,DE,2023-05-12,ads,Pro,5,0,9,0,0,Basic,5,95,0,annual,1,39,376,127515,31,27,39,2024-12-14,3,8.24468085106383,3269.6153846153848,9.64102564102564,17,8.0,82.5,30.75,4.25,1.0,2024-11-25,1,599,0,1,36.0,1,"['categorical__country_DE', 'categorical__industry_DevTools', 'numeric__plan_changed']"
A-96e141,0.7658089465393341,76.6,High,23.4,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,UK,2023-08-12,partner,Basic,14,0,7,0,0,Enterprise,25,4975,0,monthly,1,36,346,81587,19,26,36,2024-12-17,2,5.491329479768786,2266.305555555556,9.61111111111111,14,5.0,68.4,32.8,4.333333333333333,0.0,2024-04-15,1,507,11,1,260.0,1,"['categorical__industry_DevTools', 'categorical__latest_plan_tier_Enterprise', 'numeric__subscription_count']"
A-55f257,0.7649770667388942,76.5,High,23.5,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,US,2023-12-21,organic,Basic,9,0,10,1,0,Enterprise,21,4179,0,monthly,0,53,476,145972,25,31,50,2024-12-31,6,5.2521008403361344,2754.188679245283,8.981132075471699,0,6.0,114.5,43.16666666666666,5.0,0.0,2024-07-12,1,376,12,1,172.0,1,"['categorical__latest_plan_tier_Enterprise', 'numeric__days_since_last_usage', 'numeric__latest_auto_renew']"
A-72799b,0.764729114237018,76.5,High,23.5,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,FR,2023-11-13,event,Enterprise,20,1,10,1,1,Pro,61,2989,0,annual,1,56,550,154998,34,31,55,2024-12-27,10,6.181818181818182,2767.8214285714284,9.821428571428571,4,2.0,80.0,33.5,4.5,1.0,2024-09-06,1,414,41,1,116.0,1,"['categorical__industry_DevTools', 'categorical__country_FR', 'categorical__referral_source_event']"
A-19b2c8,0.763039551528843,76.3,High,23.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,IN,2023-06-06,other,Pro,20,0,13,1,0,Enterprise,20,3980,0,monthly,1,63,601,188401,34,31,62,2024-12-30,4,5.657237936772046,2990.492063492064,9.53968253968254,1,3.0,90.0,29.33333333333333,4.666666666666667,0.0,2024-09-05,1,574,0,1,117.0,1,"['categorical__industry_DevTools', 'categorical__latest_plan_tier_Enterprise', 'numeric__active_usage_days']"
A-e7a1e2,0.7582694909616899,75.8,High,24.2,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",Cybersecurity,US,2024-06-23,event,Enterprise,3,0,12,0,0,Enterprise,44,8756,0,annual,1,68,703,220928,36,36,67,2024-12-21,3,5.120910384068279,3248.9411764705883,10.338235294117649,10,1.0,37.0,45.0,4.0,0.0,2024-03-31,1,191,41,0,275.0,1,"['numeric__unique_features_used', 'categorical__referral_source_event', 'numeric__active_usage_days']"
A-ac9111,0.7534905118124079,75.3,High,24.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,US,2023-08-12,event,Pro,21,0,16,0,1,Enterprise,21,4179,0,monthly,1,83,808,254330,46,36,77,2024-12-27,10,5.693069306930694,3064.21686746988,9.734939759036145,4,3.0,89.66666666666667,24.666666666666668,5.0,0.0,2024-05-05,1,507,0,1,240.0,1,"['numeric__active_usage_days', 'numeric__unique_features_used', 'categorical__referral_source_event']"
A-afa505,0.7505838443385615,75.1,High,24.9,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-12-27,partner,Basic,70,0,9,1,1,Enterprise,70,13930,0,monthly,0,51,507,162673,28,33,48,2024-12-30,8,5.522682445759369,3189.6666666666665,9.941176470588236,1,4.0,88.25,37.25,3.0,1.0,2024-09-25,1,370,0,1,97.0,1,"['categorical__industry_DevTools', 'numeric__unique_features_used', 'categorical__latest_plan_tier_Enterprise']"
A-832ec2,0.7503201141437371,75.0,High,25.0,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,UK,2023-11-19,event,Enterprise,4,0,8,1,0,Enterprise,22,4378,0,annual,0,49,511,157711,25,31,46,2024-12-23,6,4.892367906066536,3218.591836734694,10.428571428571429,8,3.0,108.66666666666669,26.0,4.0,1.0,2024-07-24,1,408,18,0,160.0,1,"['categorical__referral_source_event', 'categorical__latest_plan_tier_Enterprise', 'numeric__latest_auto_renew']"
A-88c6ca,0.7447088835957114,74.5,High,25.5,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,DE,2024-10-25,ads,Basic,5,1,7,0,0,Pro,23,1127,0,annual,1,43,446,130195,19,27,41,2024-12-27,8,4.260089686098654,3027.7906976744184,10.372093023255816,4,1.0,12.0,56.0,,0.0,2023-02-26,1,67,18,1,674.0,0,"['categorical__country_DE', 'numeric__average_first_response_minutes', 'numeric__errors_per_100_usage']"
A-544d0a,0.7442701495582925,74.4,High,25.6,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2024-05-02,organic,Basic,2,0,10,1,1,Enterprise,2,398,0,annual,0,47,510,152826,22,27,45,2024-12-18,7,4.313725490196078,3251.617021276596,10.851063829787234,13,2.0,98.0,38.5,4.0,1.0,2024-04-19,1,243,0,1,256.0,1,"['categorical__industry_DevTools', 'categorical__latest_plan_tier_Enterprise', 'numeric__errors_per_100_usage']"
A-db5e9e,0.741146708043917,74.1,High,25.9,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2024-11-09,partner,Basic,4,0,8,0,1,Enterprise,17,3383,0,annual,1,57,586,170855,27,29,54,2024-12-31,7,4.607508532423208,2997.4561403508774,10.280701754385966,0,2.0,97.5,66.0,5.0,0.0,2024-06-25,1,52,13,1,189.0,1,"['categorical__industry_DevTools', 'categorical__latest_plan_tier_Enterprise', 'numeric__days_since_last_usage']"
A-10b8f2,0.7334778373109244,73.3,High,26.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,DE,2023-01-11,organic,Basic,47,0,12,1,0,Pro,48,2352,0,annual,1,56,560,173183,23,29,54,2024-12-26,10,4.107142857142857,3092.553571428572,10.0,5,3.0,67.0,46.333333333333336,4.333333333333333,0.0,2024-01-31,1,720,1,1,335.0,1,"['categorical__country_DE', 'numeric__errors_per_100_usage', 'numeric__customer_tenure_days']"
A-151c9a,0.7331247731921925,73.3,High,26.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,US,2023-01-27,ads,Enterprise,23,0,5,0,1,Pro,52,2548,0,monthly,0,34,366,120907,14,28,34,2024-12-29,1,3.825136612021858,3556.0882352941176,10.764705882352942,2,2.0,156.5,31.0,3.5,0.0,2024-06-01,1,704,29,1,213.0,1,"['numeric__subscription_count', 'numeric__errors_per_100_usage', 'numeric__latest_auto_renew']"
A-b30291,0.7325612067112588,73.3,High,26.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,US,2024-04-05,event,Basic,5,1,10,0,0,Pro,5,245,0,annual,1,48,519,161097,31,26,47,2024-12-17,8,5.973025048169557,3356.1875,10.8125,14,1.0,1.0,16.0,,0.0,2023-05-15,1,270,0,1,596.0,0,"['numeric__average_first_response_minutes', 'categorical__referral_source_event', 'categorical__country_US']"
A-3b37d9,0.7304025137692853,73.0,High,27.0,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,US,2023-01-27,event,Enterprise,23,0,7,1,0,Enterprise,23,4577,0,annual,1,43,451,128119,21,26,43,2024-12-14,2,4.656319290465632,2979.5116279069766,10.488372093023257,17,5.0,89.8,36.0,4.5,0.0,2024-09-23,1,704,0,0,99.0,1,"['categorical__referral_source_event', 'categorical__latest_plan_tier_Enterprise', 'numeric__subscription_count']"
A-7c4956,0.7240518954820593,72.4,High,27.6,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-05-06,ads,Enterprise,5,1,8,0,0,Basic,27,513,0,annual,1,45,475,129707,40,27,44,2024-12-26,6,8.421052631578947,2882.3777777777777,10.555555555555555,5,3.0,66.66666666666667,13.666666666666666,4.0,0.0,2024-12-22,1,605,22,1,9.0,1,"['categorical__industry_DevTools', 'categorical__country_US', 'numeric__days_since_last_usage']"
A-b07b56,0.7234086258247513,72.3,High,27.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2024-11-08,event,Pro,25,1,15,0,0,Basic,25,0,1,annual,1,64,633,185462,39,32,60,2024-12-29,9,6.161137440758294,2897.84375,9.890625,2,4.0,93.75,31.25,3.0,0.0,2024-10-30,1,53,0,1,62.0,1,"['categorical__industry_DevTools', 'categorical__referral_source_event', 'numeric__unique_features_used']"
A-309e54,0.7215092837651572,72.2,High,27.8,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2024-12-09,other,Pro,15,0,11,0,1,Basic,15,285,0,annual,1,52,509,168199,24,28,50,2024-12-17,3,4.715127701375246,3234.596153846154,9.788461538461538,14,5.0,90.2,23.8,3.0,0.0,2024-09-24,1,22,0,1,98.0,1,"['categorical__industry_DevTools', 'categorical__country_US', 'numeric__errors_per_100_usage']"
A-2d4502,0.7212249448487695,72.1,High,27.9,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,IN,2024-04-29,event,Basic,7,0,10,1,0,Enterprise,34,6766,0,annual,1,47,465,127997,19,29,46,2024-12-07,7,4.086021505376344,2723.340425531915,9.893617021276595,24,3.0,82.0,26.33333333333333,5.0,0.0,2024-05-02,1,246,27,1,243.0,1,"['categorical__referral_source_event', 'numeric__errors_per_100_usage', 'categorical__latest_plan_tier_Enterprise']"
